Major Groups,Avg. 2013,Jan. 2014,Feb. 2014,Mar. 2014,Apr. 2014,May. 2014,Jun. 2014,Jul. 2014,Aug. 2014,Sep. 2014,Oct. 2014,Nov. 2014,Dec. 2014,Avg. 2014,% Change
Raw Materials,100.00,99.38,100.13,100.21,100.32,99.84,99.62,99.24,99.16,99.99,100.26,99.93,99.55,99.80,-0.20
Rental of equipment,100.00,100.96,101.13,101.28,102.05,102.21,102.57,102.58,102.79,102.89,101.63,101.24,101.52,101.91,1.91
Labor costs and wages,100.00,100.84,100.84,100.84,100.84,100.84,101.08,101.08,101.08,101.94,101.94,101.94,102.49,101.31,1.31
Overall Construction Cost Index,100.00,99.81,100.34,100.42,100.52,100.20,100.12,99.86,99.81,100.62,100.75,100.50,100.39,100.28,0.28
Main Group,Avg. 2014,Jan. 2015,Feb. 2015,Mar. 2015,Apr. 2015,May. 2015,Jun. 2015,Jul. 2015,Aug. 2015,Sep. 2015,Oct. 2015,Nov. 2015,Dec. 2015,Avg. 2015,% Change
Raw materials,99.80,98.74,98.55,97.50,97.26,96.96,96.38,96.31,94.42,93.18,92.64,91.48,91.12,95.38,-4.43
Hiring of equipment,101.91,100.34,99.43,99.40,98.90,99.39,99.45,99.28,99.29,99.51,99.12,99.11,98.55,99.31,-2.54
Labour cost and wages,101.31,102.49,102.49,104.38,104.38,104.38,105.67,105.67,105.67,109.69,109.69,109.69,110.37,106.22,4.84
General index,100.28,99.78,99.61,99.31,99.12,98.93,98.86,98.80,97.49,97.59,97.21,96.40,96.30,98.28,-1.99
Main Group,Avg. 2015,Jan. 2016,Feb. 2016,Mar. 2016,Apr. 2016,May. 2016,Jun. 2016,Jul. 2016,Aug. 2016,Sep. 2016,Oct. 2016,Nov. 2016,Dec. 2016,Avg. 2016,% Change
Raw materials,95.38,90.22,89.75,91.94,94.69,97.64,95.72,94.31,93.16,93.00,92.27,93.32,94.49,93.38,-2.10
Hiring of equipment,99.31,98.98,98.70,98.58,98.86,99.27,99.00,99.24,100.22,101.11,101.88,101.91,102.03,99.98,0.67
Labour cost and wages,106.22,110.37,110.37,114.64,114.64,114.64,117.13,117.13,117.13,117.58,117.58,117.58,118.83,115.64,8.87
General index,98.28,95.70,95.37,97.89,99.81,101.86,101.16,100.20,99.45,99.50,99.03,99.75,100.93,99.22,0.95
Main Group,Avg. 2016,Jan. 2017,Feb. 2017,Mar. 2017,Apr. 2017,May. 2017,Jun. 2017,Jul. 2017,Aug. 2017,Sep. 2017,Oct. 2017,Nov. 2017,Dec. 2017,Avg. 2017,% Change
Raw materials,93.38,95.45,95.58,95.08,94.75,94.90,94.72,95.10,95.91,97.31,98.14,98.12,99.23,96.19,3.01
Hiring of equipment,99.98,101.86,101.70,102.16,102.30,102.11,102.10,102.54,102.30,102.07,102.50,102.45,102.45,102.21,2.23
Labour cost and wages,115.64,118.83,118.83,120.75,120.75,120.75,120.89,120.89,120.89,121.35,121.35,121.35,122.19,120.74,4.41
General index,99.22,101.58,101.67,101.81,101.60,101.69,101.65,101.94,102.49,103.54,104.13,104.12,105.10,102.61,3.42
Main Group,Avg. 2017,Jan. 2018,Feb. 2018,Mar. 2018,Apr. 2018,May. 2018,Jun. 2018,Jul. 2018,Aug. 2018,Sep. 2018,Oct. 2018,Nov. 2018,Dec. 2018,Avg. 2018,% Change
Raw materials,96.19,99.24,99.56,100.39,100.38,100.31,100.26,100.17,100.15,100.06,100.04,100.11,99.76,100.03,4.00
Hiring of equipment,102.21,102.38,102.75,102.73,102.68,102.67,102.61,102.57,102.43,102.07,102.43,102.36,102.40,102.51,0.29
